orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Definite,PronType,Degree
περιεργίαν,περιεργίαν,περιεργία,περιεργίαν,́αν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nsubj,0.0,γίνεσθαι,"(πολυτέλειαν,)",False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,περιεργίαν,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
πολυτέλειαν,πολυτέλειαν,πολυτέλεια,πολυτέλειαν,ιαν,π,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,περιεργίαν,"(περιεργίαν,)",False,xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,γίνεται,(),False,",",False,True,False,False,,,,,,,,,,,,
ἃ,ἃ,ἃ,ἃ,ἃ,α,-20.0,PRON,p-p---nn-,Case=Nom|Gender=Neut|Number=Plur,nsubj,0.0,γίνεται,(),False,x̔̀,False,False,False,False,Nom,Neut,Plur,,,,,,,,,
χλιδῆς,χλιδῆς,χλιδῆ,χλιδῆς,ῆς,χ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,αἴτια,"(θρύψεως,)",False,xxxx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,χλιδῆς,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
θρύψεως,θρύψεως,θρύψεως,θρύψεως,εως,θ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,conj,0.0,χλιδῆς,"(χλιδῆς,)",False,xxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,,,
αἴτια,αἴτια,αἴτια,αἴτια,τια,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,xcomp,0.0,γίνεται,(),False,xx̓́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,,,,
γίνεται,γίνεται,γίγνομαι,γίνεται,ται,γ,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,acl,0.0,περιεργίαν,(),False,xx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Mid,,,,
ψυχῇ,ψυχῇ,ψυχῇ,ψυχῇ,ῇ,ψ,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,γίνεται,"(σώματι,)",False,xxxx͂ͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ψυχῇ,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
σώματι,σώματι,σώματι,σώματι,ατι,σ,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,conj,0.0,ψυχῇ,"(ψυχῇ,)",False,xx́xxxx,False,False,False,False,Dat,Neut,Sing,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ψυχῇ,(),False,",",False,True,False,False,,,,,,,,,,,,
διὰ,διὰ,διὰ,διὰ,ιὰ,δ,-20.0,ADP,r--------,,case,0.0,ὧν,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,ὧν,(),False,’,False,True,False,False,,,,,,,,,,,,
ὧν,ὧν,ὧν,ὧν,̔͂ν,ω,-20.0,PRON,p-p---ng-,Case=Gen|Gender=Neut|Number=Plur,obl,0.0,συμβέβηκε,(),False,x̔͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ὑπαίτιον,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,,,
ὑπαίτιον,ὑπαίτιον,ὑπαίτιος,ὑπαίτιον,ιον,υ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,συμβέβηκε,"(θανάτου,)",False,x̔xxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ὑπαίτιον,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
θανάτου,θανάτου,θανάτου,θανάτου,του,θ,-20.0,NOUN,Nb,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,ὑπαίτιον,"(ὑπαίτιον,)",False,xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,,,
χαλεπωτέραν,χαλεπωτέραν,χαλεπωτέραν,χαλεπωτέραν,ραν,χ,-20.0,ADJ,a-s---fac,Case=Acc|Degree=Cmp|Gender=Fem|Number=Sing,dep,0.0,συμβέβηκε,(),False,xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,,,Cmp
ζωὴν,ζωὴν,ζωὴ,ζωὴν,ὴν,ζ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,χαλεπωτέραν,(),False,xxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,,,
παρὰ,παρὰ,παρὰ,παρὰ,ρὰ,π,-20.0,ADP,r--------,,case,0.0,φρονοῦσι,(),False,xxxx̀,False,False,False,False,,,,,,,,,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,φρονοῦσι,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,,,,
εὖ,εὖ,εὖ,εὖ,ὖ,ε,-20.0,ADV,d--------,,advmod,0.0,φρονοῦσι,(),False,xx̓͂,False,False,False,False,,,,,,,,,,,,
φρονοῦσι,φρονοῦσι,φρονοῦσι,φρονοῦσι,͂σι,φ,-20.0,VERB,v-pppamd-,Case=Dat|Gender=Masc|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,obl,0.0,χαλεπωτέραν,(),False,xxxx͂xx,False,False,False,False,Dat,Masc,Plur,,,Pres,Part,Act,,,,
συμβέβηκε,συμβέβηκε,συμβέβηκε,συμβέβηκε,ηκε,σ,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,conj,0.0,ἀσπάζεται,"(ἀσπάζεται,)",False,xxxx́xxxx,False,False,False,False,,,Sing,Ind,3,Past,Fin,Act,Perf,,,
γίνεσθαι,γίνεσθαι,γίγνομαι,γίνεσθαι,θαι,γ,-20.0,VERB,v--pne---,Tense=Pres|VerbForm=Inf|Voice=Mid,ccomp,0.0,συμβέβηκε,(),False,xx́xxxx,False,False,False,False,,,,,,Pres,Inf,Mid,,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀσπάζεται,(),False,.,False,True,False,False,,,,,,,,,,,,
