orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree,PronType
εἰρήνης,εἰρήνης,εἰρήνη,εἰρήνης,νης,ε,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nsubj,0.0,βαρύτατος,(),False,xx̓xx́xxx,False,False,False,False,Gen,Fem,Sing,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἀργαλεώτατος,(),False,xx̀,False,False,False,False,,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,dep,0.0,ἀργαλεώτατος,(),False,’,False,True,False,False,,,,,,,,,,,
ἐπισχούσης,ἐπισχούσης,ἐπισχούσης,ἐπισχούσης,σης,ε,-20.0,VERB,v-sapafg-,Case=Gen|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,dep,0.0,ἀργαλεώτατος,(),False,x̓xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,Pres,Part,Act,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀργαλεώτατος,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
ταῖς,ταῖς,ταῖς,ταῖς,ῖς,τ,-20.0,DET,l-p---fd-,Case=Dat|Gender=Fem|Number=Plur,det,0.0,δυνάμεσι,(),False,xxx͂x,False,False,False,False,Dat,Fem,Plur,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἡμῖν,(),False,x̓x,False,False,False,False,,,,,,,,,,,
ἡμῖν,ἡμῖν,ἡμιε͂ς,ἡμῖν,ῖν,η,-20.0,PRON,p1p---md-,Case=Dat|Gender=Masc|Number=Plur|Person=1|PronType=Prs,nmod,0.0,δυνάμεσι,(),False,x̔xx͂x,False,False,False,False,Dat,Masc,Plur,,1,,,,,,Prs
δυνάμεσι,δυνάμεσι,δυνάμις,δυνάμεσι,εσι,δ,-20.0,NOUN,n-p---fd-,Case=Dat|Gender=Fem|Number=Plur,dep,0.0,ἀργαλεώτατος,(),False,xxxx́xxxx,False,False,False,False,Dat,Fem,Plur,,,,,,,,
εὐνομίαν,εὐνομίαν,εὐνομία,εὐνομίαν,́αν,ε,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,παρασκευαζούσης,(),False,xx̓xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,,
παρασκευαζούσης,παρασκευαζούσης,παρασκευαζούσης,παρασκευαζούσης,σης,π,-20.0,VERB,v-sppafg-,Case=Gen|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act,advcl,0.0,ἀργαλεώτατος,(),False,xxxx́xxx,False,False,False,False,Gen,Fem,Sing,,,Pres,Part,Act,,,
ἡσυχῆ,ἡσυχῆ,ἡσυχῆ,ἡσυχῆ,χῆ,η,-20.0,ADV,d--------,,advmod,0.0,ἀργαλεώτατος,"(πράως,)",False,x̔xxxx͂,False,False,False,False,,,,,,,,,,,
τε,τε,τε,τε,τε,τ,-20.0,ADV,d--------,,advmod,0.0,ἡσυχῆ,(),True,xx,True,False,False,False,,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἡσυχῆ,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
πράως,πράως,πράως,πράως,́ως,π,-20.0,ADV,d--------,,conj,0.0,ἡσυχῆ,"(ἡσυχῆ,)",False,xxx́xx,False,False,False,False,,,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀνῃρημένου,(),False,",",False,True,False,False,,,,,,,,,,,
