orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Tense,VerbForm,Voice,Degree,Mood,Person
ἐπίδοσις,ἐπίδοσις,ἐπίδοσις,ἐπίδοσις,σις,ε,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,αὔξησις,"(αὔξησις,)",False,x̓xx́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,αὔξησις,(),False,·,False,True,False,False,,,,,,,,,,
πέμπτῃ,πέμπτῃ,πέμπτῃ,πέμπτῃ,τῃ,π,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,dep,0.0,ὥρα,(),False,xx́xxxxͅ,False,False,False,False,Nom,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ὥρα,(),False,xx̀,False,False,False,False,,,,,,,,,,
’,’,έ,',’,’,-20.0,ADV,d--------,,dep,0.0,ὥρα,(),False,’,False,True,False,False,,,,,,,,,,
αὖ,αὖ,αὖ,αὖ,ὖ,α,-20.0,ADV,d--------,,advmod,0.0,ὥρα,(),False,xx̓͂,False,False,False,False,,,,,,,,,,
γάμων,γάμων,γάμος,γάμων,μων,γ,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ὥρα,(),False,xx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
ὥρα,ὥρα,ὥρα,ὥρα,́ρα,ω,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,ὥρα,(),False,x̔́xx,False,False,False,False,Nom,Fem,Sing,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ὥρα,(),False,·,False,True,False,False,,,,,,,,,,
ἕκτῃ,ἕκτῃ,ἕκτῃ,ἕκτῃ,τῃ,ε,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,ἀκμή,(),False,x̔́xxxͅ,False,False,False,False,Nom,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἀκμή,(),False,xx̀,False,False,False,False,,,,,,,,,,
συνέσεως,συνέσεως,συνέσεως,συνέσεως,εως,σ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,ἀκμή,(),False,xxxx́xxxx,False,False,False,False,Gen,Fem,Sing,,,,,,,
ἀκμή,ἀκμή,ἀκμή,ἀκμή,μή,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,ἀκμή,(),False,x̓xxx́,False,False,False,False,Nom,Fem,Sing,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἀκμή,(),False,·,False,True,False,False,,,,,,,,,,
τῆ,τῆ,τῆ,τῆ,τῆ,τ,-20.0,DET,l-s---fd-,Case=Dat|Gender=Fem|Number=Sing,det,0.0,βελτίωσις,(),False,xx͂,False,False,False,False,Dat,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,βελτίωσις,(),False,xx̀,False,False,False,False,,,,,,,,,,
ἑβδόμῃ,ἑβδόμῃ,ἑβδόμῃ,ἑβδόμῃ,μῃ,ε,-20.0,ADJ,a-s---fd-,Case=Dat|Gender=Fem|Number=Sing,advmod,0.0,βελτίωσις,(),False,x̔xxx́xxͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,
βελτίωσις,βελτίωσις,βελτίωσις,βελτίωσις,σις,β,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,βελτίωσις,"(συναύξησις,)",False,xxxx́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
ἀμφοῖν,ἀμφοῖν,ἀμφοῖν,ἀμφοῖν,ῖν,α,-20.0,ADJ,a-d---md-,Case=Dat|Gender=Masc|Number=Dual,nmod,0.0,βελτίωσις,(),False,x̓xxxx͂x,False,False,False,False,Dat,Masc,Dual,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,advmod,0.0,βελτίωσις,(),False,xxx̀,False,False,False,False,,,,,,,,,,
συναύξησις,συναύξησις,συναύξησις,συναύξησις,σις,σ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,βελτίωσις,"(βελτίωσις,)",False,xxxx́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
νοῦ,νοῦ,νοῦ,νοῦ,οῦ,ν,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,συναύξησις,"(λόγου,)",False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,νοῦ,(),False,xxx̀,False,False,False,False,,,,,,,,,,
λόγου,λόγου,λόγος,λόγου,γου,λ,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,conj,0.0,νοῦ,"(νοῦ,)",False,xx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,βελτίωσις,(),False,·,False,True,False,False,,,,,,,,,,
ὀγδόῃ,ὀγδόῃ,ὀγδόῃ,ὀγδόῃ,́ῃ,ο,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,amod,0.0,τελείωσις,(),False,x̓xxx́xͅ,False,False,False,False,Nom,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,τελείωσις,(),False,xx̀,False,False,False,False,,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,τελείωσις,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἑκατέρῳ,(),False,x̓x,False,False,False,False,,,,,,,,,,
ἑκατέρῳ,ἑκατέρῳ,ἑκατέρῳ,ἑκατέρῳ,ρῳ,ε,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,τελείωσις,(),False,x̔xxxx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,
τελείωσις,τελείωσις,τελείωσις,τελείωσις,σις,τ,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,τελείωσις,(),False,xxxx́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,τελείωσις,(),False,·,False,True,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ἐνάτην,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,ἐνάτην,(),False,xx̀,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἐνάτην,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐνάτην,ἐνάτην,ἐνάτην,ἐνάτην,την,ε,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,ἐπιείκεια,(),False,x̓xx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἐπιείκεια,ἐπιείκεια,ἐπιείκεια,ἐπιείκεια,εια,ε,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,ἐπιείκεια,"(πρᾳότης,)",False,x̓xxxx́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἐπιείκεια,(),False,xxx̀,False,False,False,False,,,,,,,,,,
πρᾳότης,πρᾳότης,πρᾳότης,πρᾳότης,της,π,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,conj,0.0,ἐπιείκεια,"(ἐπιείκεια,)",False,xxxͅx́xxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---ng-,Case=Gen|Gender=Neut|Number=Plur,det,0.0,παθῶν,(),False,xx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
παθῶν,παθῶν,παθῶν,παθῶν,ῶν,π,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,dep,0.0,ἐπιείκεια,(),False,xxxx͂x,False,False,False,False,Gen,Neut,Plur,,,,,,,
ἐπὶ,ἐπὶ,ἐπὶ,ἐπὶ,πὶ,ε,-20.0,ADP,r--------,,case,0.0,πλέον,(),False,x̓xx̀,False,False,False,False,,,,,,,,,,
πλέον,πλέον,πλέος,πλέον,́ον,π,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,obl,0.0,ἡμερωθέντων,(),False,xxx́xx,False,False,False,False,Acc,Neut,Sing,,,,,,,
ἡμερωθέντων,ἡμερωθέντων,ἡμερωθέντων,ἡμερωθέντων,των,η,-20.0,VERB,v-pappng-,Aspect=Perf|Case=Gen|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,nmod,0.0,ἐπιείκεια,(),False,x̔xxxx́xxxx,False,False,False,False,Gen,Neut,Plur,Perf,Past,Part,Pass,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,ἐπιείκεια,(),False,·,False,True,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,τέλος,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,τέλος,(),False,xx̀,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,δεκάτην,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
δεκάτην,δεκάτην,δεκάτην,δεκάτην,την,δ,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,τέλος,(),False,xxxx́xxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,βίου,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,
βίου,βίου,βίος,βίου,́ου,β,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nmod,0.0,τέλος,(),False,xx́xx,False,False,False,False,Gen,Masc,Sing,,,,,,,
