orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Degree,Mood,Person
ἦν,ἦν,ἦν,ἦν,̓͂ν,η,-20.0,AUX,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,cop,0.0,ἀναγκαῖον,(),False,x̓͂x,False,False,False,False,,,Sing,Past,Fin,Act,Imp,,Ind,3
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,πλασάμενος,(),False,",",False,True,False,False,,,,,,,,,,
μύθους,μύθους,μύθους,μύθους,ους,μ,-20.0,NOUN,n-p---ma-,Case=Acc|Gender=Masc|Number=Plur,obj,0.0,πλασάμενος,(),False,xx́xxxx,False,False,False,False,Acc,Masc,Plur,,,,,,,
πλασάμενος,πλασάμενος,πλασάμενος,πλασάμενος,νος,π,-20.0,VERB,v-sapmmn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,advcl,0.0,ἀναγκαῖον,"(συναινέσας,)",False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,Past,Part,Mid,,,,
ἢ,ἢ,ἢ,ἢ,ἢ,η,-20.0,CCONJ,c--------,,cc,0.0,πλασάμενος,(),False,x̓̀,False,False,False,False,,,,,,,,,,
συναινέσας,συναινέσας,συναινέω,συναινέσας,σας,σ,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,conj,0.0,πλασάμενος,"(πλασάμενος,)",False,xxxx́xxx,False,False,False,False,Nom,Masc,Sing,Past,Part,Act,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,ὑπὸ᾽,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,,
ὑπὸ᾽,ὑπὸ᾽,ὑπὸ᾽,ὑπὸ᾽,ὸ᾽,υ,-20.0,PUNCT,V-,,dep,0.0,ἀναγκαῖον,(),False,x̔xx̀᾽,False,False,False,False,,,,,,,,,,
ἑτέρων,ἑτέρων,ἑτέρων,ἑτέρων,ρων,ε,-20.0,ADJ,a-p---mg-,Case=Gen|Gender=Masc|Number=Plur,obj,0.0,συντεθεῖσιν,(),False,x̔xx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,,
συντεθεῖσιν,συντεθεῖσιν,συντεθεῖσιν,συντεθεῖσιν,σιν,σ,-20.0,VERB,v-prpemd-,Aspect=Perf|Case=Dat|Gender=Neut|Number=Plur|Tense=Past|VerbForm=Part|Voice=Mid,xcomp,0.0,ὑπὸ᾽,(),False,xxxx͂xxx,False,False,False,False,Dat,Neut,Plur,Past,Part,Mid,Perf,,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἐποιήσατο,(),False,.,False,True,False,False,,,,,,,,,,
